Zipcode,State,CountyName,CityName,ForecastedDate,ForecastYoYPctChange
2333,MA,Plymouth County,East Bridgewater,5/31/2022,5.7
2334,MA,Bristol County,Easton,5/31/2022,6.5
2338,MA,Plymouth County,Halifax,5/31/2022,5.5
2339,MA,Plymouth County,Hanover,5/31/2022,5.4
2341,MA,Plymouth County,Hanson,5/31/2022,5.8
2343,MA,Norfolk County,Holbrook,5/31/2022,5.9
2346,MA,Plymouth County,Middleborough,5/31/2022,5.7
2347,MA,Plymouth County,Lakeville,5/31/2022,5.5
2350,MA,Plymouth County,Abington,5/31/2022,4.4
2351,MA,Plymouth County,Abington,5/31/2022,5.5
2356,MA,Bristol County,Easton,5/31/2022,6.4
2359,MA,Plymouth County,Pembroke,5/31/2022,5.8
2360,MA,Plymouth County,Plymouth,5/31/2022,5.9
2364,MA,Plymouth County,Kingston,5/31/2022,6.3
2367,MA,Plymouth County,Plympton,5/31/2022,5.2
2368,MA,Norfolk County,Randolph,5/31/2022,6
2370,MA,Plymouth County,Rockland,5/31/2022,5.3
2375,MA,Bristol County,Easton,5/31/2022,6.1
2379,MA,Plymouth County,West Bridgewater,5/31/2022,5.7
2382,MA,Plymouth County,Whitman,5/31/2022,5.9
2420,MA,Middlesex County,Lexington,5/31/2022,5.4
2421,MA,Middlesex County,Lexington,5/31/2022,5.7
2445,MA,Norfolk County,Brookline,5/31/2022,5
2446,MA,Norfolk County,Brookline,5/31/2022,4.8
2451,MA,Middlesex County,Waltham,5/31/2022,5.4
2452,MA,Middlesex County,Waltham,5/31/2022,5.4
2453,MA,Middlesex County,Waltham,5/31/2022,5.2
2454,MA,Middlesex County,Waltham,5/31/2022,6.1
2458,MA,Middlesex County,Newton,5/31/2022,5.1
2459,MA,Middlesex County,Newton,5/31/2022,5.5
2460,MA,Middlesex County,Newton,5/31/2022,5.1
2461,MA,Middlesex County,Newton,5/31/2022,5.6
2462,MA,Middlesex County,Newton,5/31/2022,4.6
2464,MA,Middlesex County,Newton,5/31/2022,5.1
2465,MA,Middlesex County,Newton,5/31/2022,5.2
2466,MA,Middlesex County,Newton,5/31/2022,5.3
2467,MA,Norfolk County,Brookline,5/31/2022,5.4
2468,MA,Middlesex County,Newton,5/31/2022,5.8
2472,MA,Middlesex County,Watertown,5/31/2022,5.4
2474,MA,Middlesex County,Arlington,5/31/2022,5.2
